[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_end ] --START--
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Tag[ route_check ] --START--
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carbrand [ RunTime:0.011001s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carmodel [ RunTime:0.010001s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_car_style [ RunTime:0.004000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_checkreport_total [ RunTime:0.004000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_check_step [ RunTime:0.005000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_technician [ RunTime:0.005001s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_technician_schedule [ RunTime:0.004000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_item_oil [ RunTime:0.005000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_item_filter [ RunTime:0.005000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carseries [ RunTime:0.004001s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_padatatest [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_paweixin [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_member [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_admin.xc_user [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_invoice [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_reservation_recall [ RunTime:0.003001s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carservicecode [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carservicecode_1 [ RunTime:0.003000s ]
