[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_padatatest [ RunTime:0.022001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_paweixin [ RunTime:0.109006s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_member [ RunTime:0.028002s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_admin.xc_user [ RunTime:0.009001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_invoice [ RunTime:0.023001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_reservation_recall [ RunTime:0.004000s ]
[ 2015-10-22T22:54:16+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carservicecode [ RunTime:0.293017s ]
[ 2015-10-22T22:54:16+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carservicecode_1 [ RunTime:0.002000s ]
[ 2015-10-22T22:54:16+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_reservation_order [ RunTime:0.006001s ]
[ 2015-10-22T22:54:16+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_sms [ RunTime:0.022001s ]
[ 2015-10-22T22:54:16+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_storehouse_item [ RunTime:0.024001s ]
[ 2015-10-22T22:54:16+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_finance [ RunTime:0.029002s ]
